OTU,Phylum
Otu0001,Verrucomicrobia
Otu0002,Proteobacteria
Otu0003,Verrucomicrobia
Otu0004,Planctomycetes
Otu0005,Proteobacteria
Otu0006,OP3
Otu0007,Bacteroidetes
Otu0008,SR1
Otu0009,OP3
Otu0010,Actinobacteria
Otu0011,Verrucomicrobia
Otu0012,Proteobacteria
Otu0013,OP3
Otu0014,Verrucomicrobia
Otu0015,Bacteroidetes
Otu0016,Bacteroidetes
Otu0017,Verrucomicrobia
Otu0018,OP3
Otu0019,Firmicutes
Otu0020,Verrucomicrobia
Otu0021,Proteobacteria
Otu0023,Proteobacteria
Otu0024,Actinobacteria
Otu0025,Proteobacteria
Otu0026,Proteobacteria
Otu0027,Proteobacteria
Otu0028,Proteobacteria
Otu0029,Acidobacteria
Otu0030,Proteobacteria
Otu0031,Chlamydiae
Otu0032,Proteobacteria
Otu0033,TM6
Otu0034,Proteobacteria
Otu0035,Parvarchaeota
Otu0036,OP3
Otu0037,Actinobacteria
Otu0038,Lentisphaerae
Otu0039,Proteobacteria
Otu0040,Actinobacteria
Otu0041,Proteobacteria
Otu0042,Proteobacteria
Otu0043,Proteobacteria
Otu0044,Proteobacteria
Otu0045,Proteobacteria
Otu0046,Cyanobacteria
Otu0047,OD1
Otu0048,Verrucomicrobia
Otu0049,Proteobacteria
Otu0050,Acidobacteria
Otu0051,OP3
Otu0052,Proteobacteria
Otu0053,Verrucomicrobia
Otu0054,Bacteroidetes
Otu0055,Verrucomicrobia
Otu0056,Bacteroidetes
Otu0057,Proteobacteria
Otu0058,Bacteroidetes
Otu0059,Bacteroidetes
Otu0060,Verrucomicrobia
Otu0061,Proteobacteria
Otu0062,Verrucomicrobia
Otu0063,OP3
Otu0065,Firmicutes
Otu0066,OP3
Otu0067,Proteobacteria
Otu0069,Proteobacteria
Otu0070,Proteobacteria
Otu0071,Proteobacteria
Otu0072,Proteobacteria
Otu0073,Bacteroidetes
Otu0074,Proteobacteria
Otu0075,Acidobacteria
Otu0076,Bacteroidetes
Otu0077,Parvarchaeota
Otu0078,Actinobacteria
Otu0079,Proteobacteria
Otu0080,Bacteroidetes
Otu0081,Acidobacteria
Otu0084,Bacteroidetes
Otu0085,Proteobacteria
Otu0086,Planctomycetes
Otu0087,Proteobacteria
Otu0088,Bacteroidetes
Otu0089,Spirochaetes
Otu0090,Planctomycetes
Otu0091,Lentisphaerae
Otu0092,Actinobacteria
Otu0093,OP3
Otu0094,Bacteroidetes
Otu0095,OD1
Otu0096,Verrucomicrobia
Otu0097,Proteobacteria
Otu0098,Actinobacteria
Otu0099,Proteobacteria
Otu0100,Proteobacteria
Otu0101,Lentisphaerae
Otu0102,OP3
Otu0103,Verrucomicrobia
Otu0104,Proteobacteria
Otu0105,Proteobacteria
Otu0106,Proteobacteria
Otu0107,Proteobacteria
Otu0108,Proteobacteria
Otu0109,Proteobacteria
Otu0110,Proteobacteria
Otu0111,Proteobacteria
Otu0112,Elusimicrobia
Otu0113,Planctomycetes
Otu0114,OD1
Otu0115,Proteobacteria
Otu0116,Bacteroidetes
Otu0117,OP3
Otu0118,Proteobacteria
Otu0119,Proteobacteria
Otu0120,Proteobacteria
Otu0121,Chloroflexi
Otu0122,Proteobacteria
Otu0123,Cyanobacteria
Otu0124,Proteobacteria
Otu0125,Proteobacteria
Otu0126,Chlamydiae
Otu0128,Proteobacteria
Otu0129,NKB19
Otu0130,Proteobacteria
Otu0131,Proteobacteria
Otu0132,Chlamydiae
Otu0133,OP3
Otu0134,Verrucomicrobia
Otu0135,Proteobacteria
Otu0136,Proteobacteria
Otu0137,Proteobacteria
Otu0138,Cyanobacteria
Otu0139,Proteobacteria
Otu0140,Euryarchaeota
Otu0141,Verrucomicrobia
Otu0142,Proteobacteria
Otu0143,Bacteroidetes
Otu0144,Proteobacteria
Otu0145,Proteobacteria
Otu0147,Bacteroidetes
Otu0150,Proteobacteria
Otu0151,Proteobacteria
Otu0152,Spirochaetes
Otu0153,Proteobacteria
Otu0154,OD1
Otu0155,Proteobacteria
Otu0156,Firmicutes
Otu0157,Bacteroidetes
Otu0158,Proteobacteria
Otu0159,Spirochaetes
Otu0160,Proteobacteria
Otu0161,Proteobacteria
Otu0162,Cyanobacteria
Otu0163,Acidobacteria
Otu0164,Elusimicrobia
Otu0165,OP3
Otu0166,Bacteroidetes
Otu0167,OP3
Otu0168,TM6
Otu0169,Proteobacteria
Otu0170,Verrucomicrobia
Otu0171,Proteobacteria
Otu0172,Verrucomicrobia
Otu0173,Proteobacteria
Otu0174,Proteobacteria
Otu0175,Proteobacteria
Otu0176,Proteobacteria
Otu0177,Firmicutes
Otu0178,Bacteroidetes
Otu0179,Proteobacteria
Otu0180,Chlorobi
Otu0181,Verrucomicrobia
Otu0182,Bacteroidetes
Otu0183,Verrucomicrobia
Otu0184,Actinobacteria
Otu0185,OD1
Otu0186,OP3
Otu0187,Proteobacteria
Otu0188,Verrucomicrobia
Otu0189,Actinobacteria
Otu0190,Proteobacteria
Otu0191,Bacteroidetes
Otu0192,Crenarchaeota
Otu0193,OD1
Otu0194,Bacteroidetes
Otu0196,WS5
Otu0197,Proteobacteria
Otu0198,Verrucomicrobia
Otu0199,Cyanobacteria
Otu0200,Proteobacteria
Otu0201,Verrucomicrobia
Otu0202,Spirochaetes
Otu0203,Proteobacteria
Otu0204,Chlamydiae
Otu0205,Proteobacteria
Otu0207,Proteobacteria
Otu0208,Actinobacteria
Otu0209,Proteobacteria
Otu0210,SR1
Otu0211,Verrucomicrobia
Otu0212,Proteobacteria
Otu0213,Bacteroidetes
Otu0214,Proteobacteria
Otu0215,Actinobacteria
Otu0216,Proteobacteria
Otu0217,Proteobacteria
Otu0218,Proteobacteria
Otu0219,Proteobacteria
Otu0220,Bacteroidetes
Otu0221,Parvarchaeota
Otu0222,Acidobacteria
Otu0223,OD1
Otu0224,Proteobacteria
Otu0225,Proteobacteria
Otu0226,Proteobacteria
Otu0228,Proteobacteria
Otu0229,Proteobacteria
Otu0230,Actinobacteria
Otu0231,Proteobacteria
Otu0232,Proteobacteria
Otu0233,Verrucomicrobia
Otu0234,Proteobacteria
Otu0235,Planctomycetes
Otu0236,Proteobacteria
Otu0237,Verrucomicrobia
Otu0238,Proteobacteria
Otu0239,OD1
Otu0240,Acidobacteria
Otu0241,OD1
Otu0242,Verrucomicrobia
Otu0243,Proteobacteria
Otu0244,Verrucomicrobia
Otu0246,OP3
Otu0247,Proteobacteria
Otu0248,Planctomycetes
Otu0249,Cyanobacteria
Otu0250,Bacteroidetes
Otu0251,Proteobacteria
Otu0252,Proteobacteria
Otu0253,Verrucomicrobia
Otu0254,Bacteroidetes
Otu0255,Firmicutes
Otu0256,Bacteroidetes
Otu0257,Proteobacteria
Otu0258,Proteobacteria
Otu0259,Proteobacteria
Otu0260,Proteobacteria
Otu0261,Proteobacteria
Otu0262,Proteobacteria
Otu0263,TM6
Otu0264,Proteobacteria
Otu0265,Proteobacteria
Otu0266,OP3
Otu0267,Bacteroidetes
Otu0268,Proteobacteria
Otu0269,Verrucomicrobia
Otu0270,Verrucomicrobia
Otu0271,Chloroflexi
Otu0272,Acidobacteria
Otu0273,Proteobacteria
Otu0274,Acidobacteria
Otu0275,Proteobacteria
Otu0276,Chlorobi
Otu0277,Chlamydiae
Otu0278,Proteobacteria
Otu0279,Chlamydiae
Otu0280,Verrucomicrobia
Otu0281,Proteobacteria
Otu0282,Bacteroidetes
Otu0283,Proteobacteria
Otu0284,Chlamydiae
Otu0285,Proteobacteria
Otu0286,Chloroflexi
Otu0287,Proteobacteria
Otu0288,Proteobacteria
Otu0290,Proteobacteria
Otu0291,Proteobacteria
Otu0292,Verrucomicrobia
Otu0293,Proteobacteria
Otu0294,Chloroflexi
Otu0295,Proteobacteria
Otu0296,Firmicutes
Otu0297,Bacteroidetes
Otu0298,Proteobacteria
Otu0299,Firmicutes
Otu0300,Proteobacteria
Otu0302,Proteobacteria
Otu0303,Proteobacteria
Otu0304,Proteobacteria
Otu0305,Proteobacteria
Otu0306,Acidobacteria
Otu0307,Proteobacteria
Otu0308,OP3
Otu0309,Proteobacteria
Otu0310,Proteobacteria
Otu0311,Verrucomicrobia
Otu0312,Proteobacteria
Otu0313,OD1
Otu0314,Verrucomicrobia
Otu0315,Proteobacteria
Otu0316,Proteobacteria
Otu0317,Proteobacteria
Otu0318,Proteobacteria
Otu0319,Proteobacteria
Otu0320,Verrucomicrobia
Otu0321,Acidobacteria
Otu0322,Actinobacteria
Otu0323,Verrucomicrobia
Otu0324,Proteobacteria
Otu0325,Bacteroidetes
Otu0326,Firmicutes
Otu0328,Firmicutes
Otu0329,Proteobacteria
Otu0330,OD1
Otu0331,Bacteroidetes
Otu0332,Chlorobi
Otu0333,Proteobacteria
Otu0334,Chloroflexi
Otu0335,Proteobacteria
Otu0336,Proteobacteria
Otu0337,Verrucomicrobia
Otu0338,Proteobacteria
Otu0339,Proteobacteria
Otu0340,OP3
Otu0341,Firmicutes
Otu0342,Proteobacteria
Otu0345,Bacteroidetes
Otu0346,Proteobacteria
Otu0347,Acidobacteria
Otu0348,Proteobacteria
Otu0349,Proteobacteria
Otu0350,Bacteroidetes
Otu0351,Armatimonadetes
Otu0353,Proteobacteria
Otu0354,Verrucomicrobia
Otu0355,Actinobacteria
Otu0356,Lentisphaerae
Otu0357,Firmicutes
Otu0358,NKB19
Otu0359,Proteobacteria
Otu0360,Cyanobacteria
Otu0361,Bacteroidetes
Otu0362,Bacteroidetes
Otu0363,OP3
Otu0364,Proteobacteria
Otu0366,Proteobacteria
Otu0367,Proteobacteria
Otu0368,Verrucomicrobia
Otu0369,Actinobacteria
Otu0370,Verrucomicrobia
Otu0371,Firmicutes
Otu0372,Acidobacteria
Otu0373,Proteobacteria
Otu0375,Chloroflexi
Otu0376,Armatimonadetes
Otu0377,Chlamydiae
Otu0378,TM6
Otu0380,SR1
Otu0381,Bacteroidetes
Otu0382,Proteobacteria
Otu0383,Actinobacteria
Otu0384,Proteobacteria
Otu0385,Proteobacteria
Otu0386,Acidobacteria
Otu0387,Proteobacteria
Otu0388,Bacteroidetes
Otu0389,Proteobacteria
Otu0390,Verrucomicrobia
Otu0391,Bacteroidetes
Otu0393,Proteobacteria
Otu0394,Proteobacteria
Otu0395,OP3
Otu0396,Proteobacteria
Otu0397,Proteobacteria
Otu0398,Actinobacteria
Otu0400,Proteobacteria
Otu0401,Proteobacteria
Otu0402,Verrucomicrobia
Otu0403,Firmicutes
Otu0404,Actinobacteria
Otu0405,Proteobacteria
Otu0406,WS5
Otu0407,Bacteroidetes
Otu0408,TM6
Otu0409,OD1
Otu0410,Proteobacteria
Otu0411,Proteobacteria
Otu0412,Firmicutes
Otu0413,Proteobacteria
Otu0415,TM6
Otu0416,Proteobacteria
Otu0417,Euryarchaeota
Otu0418,Proteobacteria
Otu0419,Firmicutes
Otu0420,Proteobacteria
Otu0423,WS5
Otu0424,Verrucomicrobia
Otu0425,Proteobacteria
Otu0426,Verrucomicrobia
Otu0427,OD1
Otu0428,Proteobacteria
Otu0429,Proteobacteria
Otu0430,Proteobacteria
Otu0431,Proteobacteria
Otu0433,Bacteroidetes
Otu0434,Proteobacteria
Otu0436,Proteobacteria
Otu0437,Acidobacteria
Otu0438,Proteobacteria
Otu0439,OP11
Otu0441,Acidobacteria
Otu0442,SR1
Otu0443,Proteobacteria
Otu0444,Bacteroidetes
Otu0445,Proteobacteria
Otu0446,Proteobacteria
Otu0447,OP3
Otu0448,Proteobacteria
Otu0449,Proteobacteria
Otu0450,Cyanobacteria
Otu0451,Chloroflexi
Otu0453,Proteobacteria
Otu0454,Proteobacteria
Otu0455,OP3
Otu0456,Bacteroidetes
Otu0457,Proteobacteria
Otu0459,OD1
Otu0460,Bacteroidetes
Otu0461,Proteobacteria
Otu0462,Proteobacteria
Otu0463,Actinobacteria
Otu0464,Actinobacteria
Otu0465,OD1
Otu0466,Chlamydiae
Otu0467,Verrucomicrobia
Otu0468,Proteobacteria
Otu0469,Verrucomicrobia
Otu0470,Proteobacteria
Otu0471,Proteobacteria
Otu0472,Proteobacteria
Otu0473,Bacteroidetes
Otu0474,Verrucomicrobia
Otu0476,Proteobacteria
Otu0477,Bacteroidetes
Otu0478,TM6
Otu0479,Firmicutes
Otu0480,OP3
Otu0482,Proteobacteria
Otu0483,Chloroflexi
Otu0484,Proteobacteria
Otu0485,Armatimonadetes
Otu0486,Bacteroidetes
Otu0487,Proteobacteria
Otu0488,Verrucomicrobia
Otu0489,Proteobacteria
Otu0490,Proteobacteria
Otu0491,OD1
Otu0492,Verrucomicrobia
Otu0493,Actinobacteria
Otu0494,Proteobacteria
Otu0495,Bacteroidetes
Otu0496,Proteobacteria
Otu0498,Verrucomicrobia
Otu0499,Firmicutes
Otu0500,Chlamydiae
Otu0501,Parvarchaeota
Otu0502,Proteobacteria
Otu0503,WS4
Otu0504,Proteobacteria
Otu0505,Acidobacteria
Otu0506,Proteobacteria
Otu0507,Verrucomicrobia
Otu0508,Parvarchaeota
Otu0509,Verrucomicrobia
Otu0510,Proteobacteria
Otu0511,Verrucomicrobia
Otu0512,Proteobacteria
Otu0514,Proteobacteria
Otu0515,Proteobacteria
Otu0516,Chlamydiae
Otu0517,Actinobacteria
Otu0518,Bacteroidetes
Otu0519,Verrucomicrobia
Otu0520,Proteobacteria
Otu0522,Proteobacteria
Otu0523,Firmicutes
Otu0524,Planctomycetes
Otu0525,Proteobacteria
Otu0526,Actinobacteria
Otu0527,Proteobacteria
Otu0528,Proteobacteria
Otu0529,Verrucomicrobia
Otu0530,Proteobacteria
Otu0531,Bacteroidetes
Otu0532,Euryarchaeota
Otu0533,Proteobacteria
Otu0534,Proteobacteria
Otu0535,Bacteroidetes
Otu0536,Verrucomicrobia
Otu0537,Proteobacteria
Otu0538,Bacteroidetes
Otu0539,Proteobacteria
Otu0540,Verrucomicrobia
Otu0541,Verrucomicrobia
Otu0542,Proteobacteria
Otu0543,Proteobacteria
Otu0544,Bacteroidetes
Otu0545,Proteobacteria
Otu0546,Chlamydiae
Otu0547,Proteobacteria
Otu0548,Proteobacteria
Otu0549,Proteobacteria
Otu0550,Proteobacteria
Otu0551,Proteobacteria
Otu0552,Proteobacteria
Otu0553,Armatimonadetes
Otu0554,Proteobacteria
Otu0555,Proteobacteria
Otu0557,Proteobacteria
Otu0558,Verrucomicrobia
Otu0559,Proteobacteria
Otu0560,Proteobacteria
Otu0561,Proteobacteria
Otu0562,Proteobacteria
Otu0563,Proteobacteria
Otu0564,Bacteroidetes
Otu0565,Actinobacteria
Otu0566,OP3
Otu0567,Proteobacteria
Otu0568,Proteobacteria
Otu0569,Proteobacteria
