OTU,Day,Month,Year,value
Otu0001,1,7,2005,29
Otu0002,1,7,2005,8
Otu0003,1,7,2005,2
Otu0005,1,7,2005,117
Otu0014,1,7,2005,4
Otu0015,1,7,2005,29
Otu0018,1,7,2005,3
Otu0027,1,7,2005,3
Otu0044,1,7,2005,7
Otu0045,1,7,2005,21
Otu0052,1,7,2005,6
Otu0053,1,7,2005,35
Otu0056,1,7,2005,3
Otu0060,1,7,2005,28
Otu0069,1,7,2005,26
Otu0073,1,7,2005,6
Otu0076,1,7,2005,180
Otu0097,1,7,2005,257
Otu0100,1,7,2005,2
Otu0101,1,7,2005,2
Otu0105,1,7,2005,8
Otu0107,1,7,2005,3
Otu0108,1,7,2005,11
Otu0109,1,7,2005,5
Otu0122,1,7,2005,97
Otu0130,1,7,2005,4
Otu0136,1,7,2005,9
Otu0143,1,7,2005,17
Otu0179,1,7,2005,18
Otu0180,1,7,2005,20
Otu0184,1,7,2005,110
Otu0189,1,7,2005,41
Otu0197,1,7,2005,3
Otu0198,1,7,2005,4
Otu0209,1,7,2005,10
Otu0217,1,7,2005,7
Otu0218,1,7,2005,16
Otu0228,1,7,2005,4
Otu0230,1,7,2005,8
Otu0232,1,7,2005,4
Otu0233,1,7,2005,2
Otu0244,1,7,2005,2
Otu0251,1,7,2005,3
Otu0252,1,7,2005,3
Otu0273,1,7,2005,3
Otu0290,1,7,2005,2
Otu0295,1,7,2005,2
Otu0297,1,7,2005,5
Otu0338,1,7,2005,15
Otu0394,1,7,2005,6
Otu0396,1,7,2005,6
Otu0407,1,7,2005,18
Otu0410,1,7,2005,2
Otu0416,1,7,2005,3
Otu0443,1,7,2005,17
Otu0472,1,7,2005,80
Otu0484,1,7,2005,4
Otu0498,1,7,2005,20
Otu0522,1,7,2005,22
Otu0535,1,7,2005,60
Otu0557,1,7,2005,2
Otu0606,1,7,2005,28
Otu0678,1,7,2005,35
Otu0687,1,7,2005,5
Otu0726,1,7,2005,18
Otu0775,1,7,2005,2
Otu0800,1,7,2005,2
Otu0813,1,7,2005,143
Otu0891,1,7,2005,40
Otu1018,1,7,2005,22
Otu1031,1,7,2005,206
Otu1167,1,7,2005,3
Otu1183,1,7,2005,10
Otu1202,1,7,2005,13
Otu1206,1,7,2005,9
Otu1211,1,7,2005,7
Otu1231,1,7,2005,2
Otu1259,1,7,2005,6
Otu1264,1,7,2005,65
Otu1283,1,7,2005,2
Otu1415,1,7,2005,12
Otu1520,1,7,2005,2
Otu1554,1,7,2005,2
Otu1590,1,7,2005,3
Otu1673,1,7,2005,6
Otu1680,1,7,2005,2
Otu1716,1,7,2005,2
Otu1724,1,7,2005,2
Otu2024,1,7,2005,2
Otu2352,1,7,2005,2
Otu2911,1,7,2005,2
Otu2936,1,7,2005,2
Otu2983,1,7,2005,3
Otu3028,1,7,2005,105
Otu3085,1,7,2005,2
Otu3305,1,7,2005,51
Otu3642,1,7,2005,3
Otu3684,1,7,2005,6
Otu4195,1,7,2005,2
Otu4203,1,7,2005,57
Otu4239,1,7,2005,6
Otu4253,1,7,2005,3
Otu4464,1,7,2005,2
Otu4584,1,7,2005,8
Otu4605,1,7,2005,3
Otu4851,1,7,2005,2
Otu4853,1,7,2005,9
Otu4909,1,7,2005,2
Otu4999,1,7,2005,2
Otu5162,1,7,2005,14
Otu5264,1,7,2005,27
Otu5292,1,7,2005,2
Otu5390,1,7,2005,3
Otu5490,1,7,2005,4
Otu5674,1,7,2005,2
Otu5723,1,7,2005,3
Otu5851,1,7,2005,12
Otu6028,1,7,2005,2
Otu0001,2,8,2005,11
Otu0002,2,8,2005,14
Otu0003,2,8,2005,9
Otu0005,2,8,2005,5
Otu0007,2,8,2005,8
Otu0009,2,8,2005,4
Otu0011,2,8,2005,2
Otu0014,2,8,2005,12
Otu0018,2,8,2005,3
Otu0021,2,8,2005,10
Otu0029,2,8,2005,7
Otu0032,2,8,2005,6
Otu0042,2,8,2005,4
Otu0044,2,8,2005,8
Otu0046,2,8,2005,3
Otu0052,2,8,2005,4
Otu0053,2,8,2005,175
Otu0055,2,8,2005,50
Otu0056,2,8,2005,4
Otu0057,2,8,2005,2
Otu0058,2,8,2005,9
Otu0060,2,8,2005,16
Otu0073,2,8,2005,3
Otu0074,2,8,2005,8
Otu0076,2,8,2005,53
Otu0081,2,8,2005,60
Otu0097,2,8,2005,339
Otu0105,2,8,2005,6
Otu0107,2,8,2005,4
Otu0108,2,8,2005,30
Otu0109,2,8,2005,24
Otu0122,2,8,2005,14
Otu0130,2,8,2005,3
Otu0131,2,8,2005,2
Otu0136,2,8,2005,3
Otu0142,2,8,2005,3
Otu0143,2,8,2005,4
Otu0167,2,8,2005,2
Otu0176,2,8,2005,2
Otu0180,2,8,2005,201
Otu0184,2,8,2005,79
Otu0189,2,8,2005,125
Otu0198,2,8,2005,36
Otu0199,2,8,2005,8
Otu0212,2,8,2005,2
Otu0218,2,8,2005,10
Otu0223,2,8,2005,5
Otu0224,2,8,2005,3
Otu0230,2,8,2005,21
Otu0232,2,8,2005,2
Otu0238,2,8,2005,4
Otu0242,2,8,2005,2
Otu0244,2,8,2005,5
Otu0252,2,8,2005,22
Otu0265,2,8,2005,2
Otu0267,2,8,2005,2
Otu0272,2,8,2005,2
Otu0282,2,8,2005,3
Otu0290,2,8,2005,4
Otu0297,2,8,2005,3
Otu0331,2,8,2005,5
Otu0338,2,8,2005,60
Otu0370,2,8,2005,4
Otu0386,2,8,2005,7
Otu0394,2,8,2005,14
Otu0407,2,8,2005,94
Otu0443,2,8,2005,30
Otu0472,2,8,2005,21
Otu0488,2,8,2005,4
Otu0491,2,8,2005,2
Otu0498,2,8,2005,16
Otu0522,2,8,2005,3
Otu0535,2,8,2005,2
Otu0538,2,8,2005,4
Otu0557,2,8,2005,3
