Sample_Name,Day,Month,Year,Depth,DO,Temperature,pH
CBE,18,MAY,2005,0,,,
CBE,18,MAY,2005,0.5,,,
CBE,18,MAY,2005,1,,,
CBE,18,MAY,2005,1.5,,,
CBE,18,MAY,2005,2,,,
CBE,18,MAY,2005,2.5,,,
CBH,18,MAY,2005,0,,,
CBH,18,MAY,2005,0.5,,,
CBH,18,MAY,2005,1,,,
CBH,18,MAY,2005,1.5,,,
CBH,18,MAY,2005,2,,,
CBH,18,MAY,2005,2.5,,,
CBE,1,JUN,2005,0,7.4,22.5,
CBE,1,JUN,2005,0.5,5.65,17.5,
CBE,1,JUN,2005,1,6.49,14.3,
CBE,1,JUN,2005,1.5,3.55,11,
CBE,1,JUN,2005,2,0.6,8.9,
CBE,1,JUN,2005,2.5,,,
CBH,1,JUN,2005,0,7.4,22.5,
CBH,1,JUN,2005,0.5,5.65,17.5,
CBH,1,JUN,2005,1,6.49,14.3,
CBH,1,JUN,2005,1.5,3.55,11,
CBH,1,JUN,2005,2,0.6,8.9,
CBH,1,JUN,2005,2.5,,,
CBE,8,JUN,2005,0,6.9,21.9,
CBE,8,JUN,2005,0.5,6.2,21.2,
CBE,8,JUN,2005,1,5.4,17.6,
CBE,8,JUN,2005,1.5,3.3,13.5,
CBE,8,JUN,2005,2,0.8,10.3,
CBE,8,JUN,2005,2.5,,,
CBH,8,JUN,2005,0,6.9,21.9,
CBH,8,JUN,2005,0.5,6.2,21.2,
CBH,8,JUN,2005,1,5.4,17.6,
CBH,8,JUN,2005,1.5,3.3,13.5,
CBH,8,JUN,2005,2,0.8,10.3,
CBH,8,JUN,2005,2.5,,,
CBE,15,JUN,2005,0,5.4,20.7,
CBE,15,JUN,2005,0.5,5.4,20.7,
CBE,15,JUN,2005,1,2.9,15,
CBE,15,JUN,2005,1.5,0.4,10.6,
CBE,15,JUN,2005,2,0.3,9.8,
CBE,15,JUN,2005,2.5,,,
CBH,15,JUN,2005,0,5.4,20.7,
CBH,15,JUN,2005,0.5,5.4,20.7,
CBH,15,JUN,2005,1,2.9,15,
CBH,15,JUN,2005,1.5,0.4,10.6,
CBH,15,JUN,2005,2,0.3,9.8,
CBH,15,JUN,2005,2.5,,,
CBE,22,JUN,2005,0,8.2,24.6,
CBE,22,JUN,2005,0.5,7.9,23.5,
CBE,22,JUN,2005,1,8.1,23,
CBE,22,JUN,2005,1.5,8,19.8,
CBE,22,JUN,2005,2,2.6,16.1,
CBE,22,JUN,2005,2.5,,,
CBH,22,JUN,2005,0,8.2,24.6,
CBH,22,JUN,2005,0.5,7.9,23.5,
CBH,22,JUN,2005,1,8.1,23,
CBH,22,JUN,2005,1.5,8,19.8,
CBH,22,JUN,2005,2,2.6,16.1,
CBH,22,JUN,2005,2.5,,,
CBE,29,JUN,2005,0,6.6,25.1,
CBE,29,JUN,2005,0.5,6.6,24.9,
CBE,29,JUN,2005,1,6.1,24.4,
CBE,29,JUN,2005,1.5,4.6,22.4,
CBE,29,JUN,2005,2,0.8,19.5,
CBE,29,JUN,2005,2.5,,,
CBH,29,JUN,2005,0,6.6,25.1,
CBH,29,JUN,2005,0.5,6.6,24.9,
CBH,29,JUN,2005,1,6.1,24.4,
CBH,29,JUN,2005,1.5,4.6,22.4,
CBH,29,JUN,2005,2,0.8,19.5,
CBH,29,JUN,2005,2.5,,,
CBE,6,JUL,2005,0,6.4,22.7,
CBE,6,JUL,2005,0.5,7.3,22.1,
CBE,6,JUL,2005,1,6.3,21.6,
CBE,6,JUL,2005,1.5,6.4,21.4,
CBE,6,JUL,2005,2,0.8,18.7,
CBE,6,JUL,2005,2.5,,,
CBH,6,JUL,2005,0,6.4,22.7,
CBH,6,JUL,2005,0.5,7.3,22.1,
CBH,6,JUL,2005,1,6.3,21.6,
CBH,6,JUL,2005,1.5,6.4,21.4,
CBH,6,JUL,2005,2,0.8,18.7,
CBH,6,JUL,2005,2.5,,,
CBE,13,JUL,2005,0,,,
CBE,13,JUL,2005,0.5,,,
CBE,13,JUL,2005,1,,,
CBE,13,JUL,2005,1.5,,,
CBE,13,JUL,2005,2,,,
CBE,13,JUL,2005,2.5,,,
CBH,13,JUL,2005,0,,,
CBH,13,JUL,2005,0.5,,,
CBH,13,JUL,2005,1,,,
CBH,13,JUL,2005,1.5,,,
CBH,13,JUL,2005,2,,,
CBH,13,JUL,2005,2.5,,,
CBE,20,JUL,2005,0,,,
CBE,20,JUL,2005,0.5,,,
CBE,20,JUL,2005,1,,,
CBE,20,JUL,2005,1.5,,,
CBE,20,JUL,2005,2,,,
